0,1,2,3,4,5,6
0.47,0.13,0.42,0.18,0.52,0.2,Yes
0.02,0.03,0.05,0.81,0.01,0.44,No
0.03,0.04,0.02,0.69,0.1,0.04,No
0.12,0.09,0.07,0.47,0.57,0.02,Yes
0.04,0.01,0.01,0.89,0.01,0.45,No
0.46,0.05,0.45,0.15,0.63,0.01,Yes
0.01,0.02,0.02,0.81,0.06,0.06,No
0.13,0.03,0.03,0.65,0.05,0.07,No
0.09,0.42,0.07,0.24,0.61,0.03,Yes
0.15,0.06,0.54,0.17,0.71,0.06,Yes
0.11,0.01,0.34,0.11,0.4,0,No
0.04,0.27,0.03,0.49,0.07,0.1,No
0.6,0.02,0.1,0.01,0.78,0,Yes
0.05,0.03,0.01,0.62,0.01,0.52,No
0.1,0.04,0.45,0.13,0.69,0.04,Yes
0.21,0.09,0.19,0.22,0.5,0.01,Yes
0.48,0.06,0.1,0.25,0.49,0.01,Yes
0.29,0.07,0.11,0.25,0.36,0.01,Yes
0,0,0.62,0.24,0.01,0.1,No
0.03,0.02,0.03,0.78,0.05,0.24,No
0.15,0.08,0.13,0.38,0.57,0.12,Yes
0,0.02,0,0.94,0.01,0.5,No
0.08,0.03,0.03,0.7,0.05,0.14,No
0.15,0.09,0.45,0.12,0.55,0.01,Yes
0.01,0.01,0.02,0.9,0.02,0.34,No
0.53,0.04,0.09,0.08,0.55,0,Yes
0.12,0.08,0.06,0.19,0.63,0.01,Yes
0.01,0,0,0.94,0.02,0.53,No
0.14,0.05,0.11,0.31,0.57,0.01,Yes
0.2,0.12,0.43,0.24,0.49,0.04,Yes
0.05,0.01,0.06,0.74,0.05,0.47,No
0.12,0.12,0.05,0.56,0.05,0.71,No
0.46,0.1,0.08,0.14,0.59,0.01,Yes
0.07,0.15,0.74,0.02,0.11,0.09,No
0.11,0.15,0.04,0.53,0.06,0.21,No
0.12,0.07,0.13,0.35,0.54,0.04,Yes
0.47,0.12,0.13,0.1,0.55,0.01,Yes
0.15,0.06,0.13,0.17,0.62,0.01,Yes
0.06,0.05,0.04,0.69,0.06,0.37,No
0.09,0.01,0.49,0.13,0.4,0.25,Yes
0.01,0,0.02,0.85,0.04,0.05,No
0.23,0.09,0.15,0.1,0.54,0.02,Yes
0.43,0.12,0.11,0.21,0.55,0.01,Yes
0.15,0.06,0.52,0.54,0.57,0.01,Yes
0.03,0.05,0.02,0.59,0.17,0.13,No
0.02,0.03,0.17,0.58,0.06,0,No
0.09,0,0.02,0.69,0.09,0.09,No
0.02,0,0.02,0.79,0.07,0.66,No
0.09,0.01,0.01,0.7,0.07,0.88,No
0.23,0.09,0.07,0.15,0.58,0.02,Yes
0.16,0.07,0.64,0.21,0.56,0.01,Yes
0.19,0.03,0.03,0.46,0.16,0.68,No
0.58,0.08,0.1,0.1,0.62,0,Yes
0.14,0.12,0.45,0.19,0.58,0,Yes
0.44,0.07,0.14,0.17,0.57,0.01,Yes
0.28,0.13,0.12,0.11,0.61,0.06,Yes
0.23,0.07,0.09,0.09,0.65,0.05,Yes
0.02,0.01,0.05,0.64,0.14,0.12,No
0.01,0.01,0.03,0.8,0.06,0.67,No
0.4,0.4,0.53,0.15,0.55,0.1,Yes
0.2,0.42,0.13,0.07,0.29,0.27,No
0.01,0,0.05,0.74,0.08,0.39,No
0.58,0.12,0.1,0.2,0.53,0.02,Yes
0.42,0.18,0.09,0.01,0.5,0.01,Yes
0.02,0.02,0.02,0.83,0.04,0.2,No
0.19,0.61,0.05,0.05,0.21,0.24,No
0.01,0.01,0.01,0.89,0.03,0.18,No
0.2,0.06,0.09,0.44,0.58,0.03,Yes
0.02,0.11,0.05,0.65,0.07,0.56,No
0.21,0.07,0.1,0.31,0.48,0.05,Yes
0.01,0.04,0.01,0.83,0.04,0.26,No
0.05,0.02,0.01,0.84,0.02,0.05,No
0.32,0.02,0.09,0.01,0.72,0.01,Yes
0.06,0.08,0.12,0.02,0.8,0.01,Yes
0.23,0.17,0.13,0.13,0.54,0.01,Yes
0.04,0.07,0.04,0.64,0.09,0.25,No
0.38,0.03,0.1,0.02,0.69,0.02,Yes
0.55,0.15,0.16,0.06,0.61,0.01,Yes
0,0,0.01,0.89,0.04,0.32,No
0.01,0.02,0.01,0.86,0.03,0.67,No
0.11,0.4,0.55,0.23,0.57,0.12,Yes
0.49,0.09,0.12,0.15,0.54,0.05,Yes
0.22,0.06,0.2,0.18,0.5,0.03,Yes
0.05,0.01,0.03,0.64,0.13,0.72,No
0.19,0.12,0.11,0.09,0.6,0.01,Yes
0,0,0,0.98,0.01,0.03,No
0.14,0.05,0.07,0.03,0.83,0.01,Yes
0.43,0.08,0.14,0.14,0.57,0.01,Yes
0.59,0.2,0.24,0.05,0.55,0,Yes
0.16,0.08,0.12,0.25,0.54,0.01,Yes
0.44,0.11,0.06,0.19,0.56,0.12,Yes
0.47,0.05,0.09,0.62,0.59,0.01,Yes
0.01,0,0.02,0.9,0.02,0.01,No
0,0,0,0.97,0.01,0.46,No
0.19,0.15,0.15,0.22,0.3,0.73,No
0.51,0.07,0.3,0.13,0.57,0.01,Yes
0.01,0.01,0.02,0.86,0.05,0.02,No
0.2,0.52,0.43,0.2,0.51,0.01,Yes
0.2,0.12,0.07,0.16,0.6,0.09,Yes
0.08,0.16,0.15,0.04,0.65,0,Yes
0.52,0.02,0.26,0.05,0.26,0.02,Yes
0.07,0.01,0.02,0.71,0.08,0.5,No
0.56,0.1,0.12,0.16,0.49,0.02,Yes
0.04,0.04,0.01,0.71,0.09,0.52,No
0.42,0.15,0.18,0.17,0.54,0.26,Yes
0.3,0.17,0.09,0.06,0.46,0.56,No
0.01,0.01,0,0.96,0.01,0.77,No
0.17,0.07,0.43,0.19,0.53,0.07,Yes
0.02,0.04,0.02,0.78,0.05,0.14,No
0.03,0.02,0.01,0.6,0.18,0.04,No
0.49,0.1,0.08,0.18,0.53,0.05,Yes
0.68,0.11,0.46,0.12,0.57,0,Yes
0.09,0.14,0.07,0.67,0.43,0.1,No
0.42,0.07,0.09,0.21,0.56,0.02,Yes
0.02,0.04,0.02,0.78,0.05,0.14,No
0.04,0.07,0,0.65,0.12,0.56,No
0.06,0.01,0.25,0.24,0.32,0.07,Yes
0.03,0,0,0.94,0,0.09,No
0.19,0.11,0.17,0.13,0.5,0.01,Yes
0.62,0.1,0.16,0.11,0.58,0,Yes
0.22,0.09,0.41,0.17,0.51,0.01,Yes
0.43,0.05,0.02,0.01,0.6,0.01,Yes
0.02,0.21,0.04,0.53,0.08,0.51,No
0.03,0,0.02,0.31,0.46,0.04,No
0.14,0.11,0.11,0.28,0.48,0.01,Yes
0.4,0.42,0.1,0.13,0.59,0.01,Yes
0.14,0.08,0.5,0.48,0.52,0,Yes
0.15,0.09,0.39,0.57,0.47,0.02,Yes
0.13,0.09,0.1,0.17,0.6,0.02,Yes
0.02,0.01,0.02,0.88,0.02,0.28,No
0.01,0.01,0.01,0.89,0.03,0.88,No
0.05,0.01,0.05,0.35,0.36,0.33,No
0.22,0.07,0.11,0.15,0.58,0.01,Yes
0.45,0.12,0.1,0.18,0.58,0,Yes
0.02,0.02,0.01,0.82,0.06,0.28,No
0.12,0.14,0.14,0.09,0.58,0,Yes
0.47,0.12,0.11,0.11,0.53,0,Yes
0.19,0.07,0.48,0.52,0.51,0.04,Yes
0.01,0.01,0.04,0.5,0.26,0.81,No
0.01,0.02,0.06,0.81,0.02,0.48,No
0.07,0.01,0.01,0.82,0.03,0.63,No
0.15,0.08,0.2,0.15,0.53,0.01,Yes
0.22,0.15,0.13,0.21,0.5,0.25,Yes
0.17,0.06,0.12,0.11,0.58,0.04,Yes
0.06,0.02,0.04,0.65,0.11,0.05,No
0.1,0.05,0.1,0.28,0.62,0.01,Yes
0.45,0.11,0.1,0.18,0.54,0,Yes
0.18,0.04,0.08,0.09,0.63,0.02,Yes
0.3,0.05,0.06,0,0.71,0.02,Yes
0.03,0.03,0,0.75,0.08,0.84,No
0.13,0.07,0.55,0.48,0.56,0.09,Yes
0.01,0.01,0.01,0.91,0.02,0.01,No
0.49,0.1,0.12,0.11,0.57,0.01,Yes
0.4,0.08,0.65,0.21,0.55,0.02,Yes
0.04,0.04,0.05,0.6,0.13,0.17,No
0.03,0.04,0.05,0.74,0.04,0.73,No
0.55,0.41,0.06,0.06,0.54,0.02,Yes
0.19,0.04,0.11,0.06,0.67,0.01,Yes
0.16,0.1,0.42,0.23,0.52,0.55,Yes
0.61,0.1,0.1,0.08,0.55,0.01,Yes
0.49,0.09,0.08,0.5,0.57,0.04,Yes
0.45,0.41,0.14,0.17,0.56,0.13,Yes
0.03,0.01,0.1,0.7,0,0.05,No
0.02,0.01,0.06,0.73,0.07,0.48,No
0,0,0.02,0.88,0.03,0.25,No
0.17,0.1,0.13,0.2,0.52,0.03,Yes
0.41,0.08,0.13,0.14,0.59,0,Yes
0.11,0.07,0.43,0.51,0.63,0,Yes
0.02,0.01,0.06,0.7,0.09,0.32,No
0.04,0.02,0.04,0.81,0.02,0.57,No
0.01,0.01,0.01,0.93,0.02,0.43,No
0.65,0.06,0.47,0.09,0.49,0.03,Yes
0.12,0.07,0.15,0.45,0.54,0.06,Yes
0.17,0.08,0.17,0.11,0.46,0.15,No
0.2,0.05,0.12,0.13,0.56,0.03,Yes
0.04,0.01,0.05,0.72,0.07,0.57,No
0.08,0.07,0.04,0.62,0.08,0.66,No
0.02,0,0,0.94,0.01,0.16,No
0.09,0.06,10,0.4,0.58,0.03,Yes
0.38,0.03,0.1,0.01,0.58,0.01,Yes
0.17,0.13,0.14,0.12,0.59,0.22,Yes
0.41,0.09,0.42,0.28,0.55,0.04,Yes
0.03,0.02,0.07,0.41,0.3,0.48,No
0.02,0,0.01,0.9,0.02,0.45,No
0.13,0.08,0.14,0.11,0.59,0.01,Yes
0,0,0,0.99,0,0,No
0,0.01,0.01,0.74,0.12,0.7,No
0.18,0.07,0.08,0.22,0.56,0.01,Yes
0.14,0.46,0.69,0.3,0.48,0,Yes
0.42,0.44,0.09,0.07,0.61,0.01,Yes
0.04,0.02,0.11,0.27,0.42,0.61,No
0.02,0.04,0.07,0.77,0.02,0.16,No
0.25,0.06,0.2,0.12,0.37,0.02,No
